site,datetime,x,y,layer,obsval
twgw_2_202,2019-01-06 07:12:00,9002.018850419525,3319.006745680373,3,34.15606673
twgw_0_4518,2019-01-10 07:12:00,2618.279513933654,-1498.6932103263841,1,33.59469394
twgw_2_1960,2019-01-15 02:24:00,7346.139044750419,-0.30556947770839926,3,33.92557998
twgw_2_1042,2018-12-30 09:36:00,6411.073826936332,3915.6557626196472,3,34.16890425
twgw_0_2957,2019-02-11 02:24:00,5785.644647575239,-766.8019312504399,1,33.81463816
twgw_2_1590,2019-01-29 21:36:00,6936.293012858507,1552.8256344670576,3,33.93393972
twgw_0_3076,2018-12-31 00:00:00,3767.7898343058077,1192.6725532771384,1,33.76290569
twgw_0_202,2019-02-06 00:00:00,9000.260312632394,3355.506277632604,1,34.15628691
twgw_0_2728,2019-01-10 02:24:00,5268.359669847015,371.1482351337234,1,33.79244046
twgw_2_3385,2019-02-11 12:00:00,3636.601296879497,474.67399784594204,3,33.68750843
twgw_2_4369,2019-01-30 12:00:00,2382.2943635294123,-731.287169678793,3,33.62898614
twgw_0_1960,2019-02-08 00:00:00,7342.486528242131,50.99458220891215,1,33.92578695
twgw_2_2728,2019-01-18 04:48:00,5290.585298319484,404.5562801765389,3,33.79222556
twgw_2_2957,2019-01-24 21:36:00,5776.142710477893,-765.2288571604122,3,33.8144358
twgw_2_310,2019-01-16 21:36:00,9853.38494163777,2069.399869532959,3,34.10221269
twgw_0_4015,2019-02-07 04:48:00,4378.0423785322955,-1795.79023572067,1,33.72808227
twgw_0_3385,2019-02-17 21:36:00,3661.007335486058,459.4611404212613,1,33.68773814
twgw_0_4369,2019-01-13 16:48:00,2377.285659093784,-750.5158913574547,1,33.62922626
twgw_0_202,2019-03-15 19:12:00,9000.260312632394,3355.506277632604,1,34.59395386
twgw_2_2728,2019-02-11 14:24:00,5290.585298319484,404.5562801765389,3,34.13614144
twgw_0_4518,2019-03-05 14:24:00,2618.279513933654,-1498.6932103263841,1,33.81230747
twgw_2_202,2019-03-17 12:00:00,9002.018850419525,3319.006745680373,3,34.59345901
twgw_2_4015,2019-02-05 21:36:00,4344.760085967589,-1757.2720751585152,3,33.9903081
twgw_0_2728,2019-03-08 04:48:00,5268.359669847015,371.1482351337234,1,34.13665273
twgw_0_3385,2019-03-14 07:12:00,3661.007335486058,459.4611404212613,1,34.09777527
twgw_0_2957,2019-03-13 04:48:00,5785.644647575239,-766.8019312504399,1,34.10726896
twgw_0_1590,2019-03-06 00:00:00,6877.212040124034,1533.516731404556,1,34.26941478
twgw_2_1960,2019-03-08 02:24:00,7346.139044750419,-0.30556947770839926,3,34.20710303
twgw_0_4015,2019-03-21 07:12:00,4378.0423785322955,-1795.79023572067,1,33.99080797
twgw_2_1042,2019-03-16 12:00:00,6411.073826936332,3915.6557626196472,3,34.77034152
twgw_0_1042,2019-03-05 02:24:00,6472.877121823882,3974.1157707806547,1,34.77083388
twgw_2_1590,2019-02-23 00:00:00,6936.293012858507,1552.8256344670576,3,34.26891782
twgw_2_3385,2019-02-22 09:36:00,3636.601296879497,474.67399784594204,3,34.09724186
twgw_2_1042,2019-04-15 02:24:00,6411.073826936332,3915.6557626196472,3,35.67280811
twgw_0_4518,2019-02-25 19:12:00,2618.279513933654,-1498.6932103263841,1,34.1051319
twgw_2_3385,2019-03-01 19:12:00,3636.601296879497,474.67399784594204,3,34.67359109
twgw_2_2957,2019-04-14 07:12:00,5776.142710477893,-765.2288571604122,3,34.49868614
twgw_0_3076,2019-04-04 04:48:00,3767.7898343058077,1192.6725532771384,1,34.87573427
twgw_0_2957,2019-04-07 07:12:00,5785.644647575239,-766.8019312504399,1,34.49970417
twgw_0_310,2019-03-22 09:36:00,9869.237510077019,2071.7000858204833,1,34.83437944
twgw_2_2728,2019-03-25 14:24:00,5290.585298319484,404.5562801765389,3,34.60743766
twgw_2_1960,2019-03-24 09:36:00,7346.139044750419,-0.30556947770839926,3,34.59025504
twgw_2_1590,2019-03-05 14:24:00,6936.293012858507,1552.8256344670576,3,34.73348564
twgw_2_4015,2019-03-04 21:36:00,4344.760085967589,-1757.2720751585152,3,34.33486091
twgw_0_202,2019-03-11 16:48:00,9000.260312632394,3355.506277632604,1,35.23457914
twgw_0_4369,2019-04-22 09:36:00,2377.285659093784,-750.5158913574547,1,34.29426482
twgw_0_1960,2019-03-13 09:36:00,7342.486528242131,50.99458220891215,1,34.59116794
twgw_2_202,2019-03-09 14:24:00,9002.018850419525,3319.006745680373,3,35.23367429
twgw_2_4518,2019-02-26 21:36:00,2581.2893564558844,-1500.256060255662,3,34.10409458
twgw_0_2728,2019-03-08 21:36:00,5268.359669847015,371.1482351337234,1,34.60837139
twgw_2_4369,2019-03-03 07:12:00,2382.2943635294123,-731.287169678793,3,34.29321862
twgw_0_4015,2019-04-20 19:12:00,4378.0423785322955,-1795.79023572067,1,34.33579209
twgw_0_1042,2019-04-04 07:12:00,6472.877121823882,3974.1157707806547,1,35.67371999
twgw_2_3076,2019-04-21 02:24:00,3832.385761844663,1154.0384951844164,3,34.87476029
twgw_0_202,2019-04-06 16:48:00,9000.260312632394,3355.506277632604,1,35.91554436
twgw_0_2957,2019-04-11 07:12:00,5785.644647575239,-766.8019312504399,1,34.89166458
twgw_2_3076,2019-04-27 12:00:00,3832.385761844663,1154.0384951844164,3,35.55269547
twgw_0_2728,2019-05-19 00:00:00,5268.359669847015,371.1482351337234,1,35.08607194
twgw_0_3076,2019-05-18 21:36:00,3767.7898343058077,1192.6725532771384,1,35.55414383
twgw_0_4015,2019-04-02 21:36:00,4378.0423785322955,-1795.79023572067,1,34.6742235
twgw_0_310,2019-04-23 14:24:00,9869.237510077019,2071.7000858204833,1,35.28933141
twgw_0_1590,2019-04-26 19:12:00,6877.212040124034,1533.516731404556,1,35.21253127
twgw_0_4518,2019-05-23 09:36:00,2618.279513933654,-1498.6932103263841,1,34.39726505
twgw_2_1042,2019-04-20 02:24:00,6411.073826936332,3915.6557626196472,3,36.63990086
twgw_2_4518,2019-04-24 04:48:00,2581.2893564558844,-1500.256060255662,3,34.39577078
twgw_2_1590,2019-04-07 09:36:00,6936.293012858507,1552.8256344670576,3,35.2112131
twgw_0_1042,2019-04-15 04:48:00,6472.877121823882,3974.1157707806547,1,36.64128323
twgw_2_310,2019-04-28 16:48:00,9853.38494163777,2069.399869532959,3,35.28792885
twgw_2_2957,2019-05-04 21:36:00,5776.142710477893,-765.2288571604122,3,34.89023497
twgw_2_202,2019-04-08 00:00:00,9002.018850419525,3319.006745680373,3,35.91420595
twgw_0_1960,2019-05-17 12:00:00,7342.486528242131,50.99458220891215,1,34.98242595
twgw_2_3385,2019-04-11 21:36:00,3636.601296879497,474.67399784594204,3,35.26507739
twgw_0_4369,2019-04-13 02:24:00,2377.285659093784,-750.5158913574547,1,34.68459237
twgw_0_3385,2019-06-24 07:12:00,3661.007335486058,459.4611404212613,1,35.72132558
twgw_2_3385,2019-06-16 16:48:00,3636.601296879497,474.67399784594204,3,35.7195158
twgw_2_202,2019-05-30 19:12:00,9002.018850419525,3319.006745680373,3,36.45163973
twgw_2_4015,2019-05-05 09:36:00,4344.760085967589,-1757.2720751585152,3,34.92101636
twgw_2_1042,2019-06-23 04:48:00,6411.073826936332,3915.6557626196472,3,37.41682202
twgw_2_2728,2019-05-03 04:48:00,5290.585298319484,404.5562801765389,3,35.44456603
twgw_0_4015,2019-04-30 21:36:00,4378.0423785322955,-1795.79023572067,1,34.9227106
twgw_2_2957,2019-05-15 16:48:00,5776.142710477893,-765.2288571604122,3,35.18080255
twgw_0_3076,2019-04-28 02:24:00,3767.7898343058077,1192.6725532771384,1,36.08103463
twgw_2_1590,2019-06-04 14:24:00,6936.293012858507,1552.8256344670576,3,35.57441173
twgw_2_4518,2019-06-03 14:24:00,2581.2893564558844,-1500.256060255662,3,34.61364473
twgw_0_4518,2019-05-30 00:00:00,2618.279513933654,-1498.6932103263841,1,34.61547208
twgw_0_310,2019-06-13 14:24:00,9869.237510077019,2071.7000858204833,1,35.64171445
twgw_2_310,2019-05-04 21:36:00,9853.38494163777,2069.399869532959,3,35.63998905
twgw_0_202,2019-06-20 04:48:00,9000.260312632394,3355.506277632604,1,36.45332618
twgw_0_2728,2019-05-21 14:24:00,5268.359669847015,371.1482351337234,1,35.44626122
twgw_0_1042,2019-06-13 12:00:00,6472.877121823882,3974.1157707806547,1,37.41860459
twgw_2_3076,2019-05-25 04:48:00,3832.385761844663,1154.0384951844164,3,36.07920743
twgw_0_1590,2019-05-04 02:24:00,6877.212040124034,1533.516731404556,1,35.57604582
twgw_0_2957,2019-06-16 12:00:00,5785.644647575239,-766.8019312504399,1,35.18250781
twgw_0_4369,2019-05-12 07:12:00,2377.285659093784,-750.5158913574547,1,34.98025293
twgw_0_2957,2019-07-07 04:48:00,5785.644647575239,-766.8019312504399,1,35.28968823
twgw_0_1042,2019-06-18 19:12:00,6472.877121823882,3974.1157707806547,1,37.79834503
twgw_2_1960,2019-07-08 12:00:00,7346.139044750419,-0.30556947770839926,3,35.38167473
twgw_0_4369,2019-07-13 19:12:00,2377.285659093784,-750.5158913574547,1,35.10389462
twgw_2_3076,2019-07-20 00:00:00,3832.385761844663,1154.0384951844164,3,36.31557778
twgw_2_202,2019-07-12 21:36:00,9002.018850419525,3319.006745680373,3,36.69754984
twgw_2_1042,2019-06-12 19:12:00,6411.073826936332,3915.6557626196472,3,37.79633427
twgw_2_1590,2019-07-23 02:24:00,6936.293012858507,1552.8256344670576,3,35.71899627
twgw_0_202,2019-06-05 02:24:00,9000.260312632394,3355.506277632604,1,36.69940893
twgw_2_2957,2019-07-08 07:12:00,5776.142710477893,-765.2288571604122,3,35.2879142
twgw_0_3385,2019-06-14 02:24:00,3661.007335486058,459.4611404212613,1,35.91900892
twgw_2_2728,2019-06-03 19:12:00,5290.585298319484,404.5562801765389,3,35.58896219
twgw_0_1590,2019-07-14 07:12:00,6877.212040124034,1533.516731404556,1,35.72076837
twgw_2_4518,2019-06-14 07:12:00,2581.2893564558844,-1500.256060255662,3,34.70121011
twgw_0_2728,2019-05-28 02:24:00,5268.359669847015,371.1482351337234,1,35.5908
twgw_2_3385,2019-06-27 02:24:00,3636.601296879497,474.67399784594204,3,35.91702974
twgw_0_310,2019-07-03 00:00:00,9869.237510077019,2071.7000858204833,1,35.78802134
twgw_0_4015,2019-06-26 02:24:00,4378.0423785322955,-1795.79023572067,1,35.01527502
twgw_2_2957,2019-07-11 04:48:00,5776.142710477893,-765.2288571604122,3,35.19485031
twgw_0_1590,2019-07-11 00:00:00,6877.212040124034,1533.516731404556,1,35.61561123
twgw_2_1960,2019-08-17 00:00:00,7346.139044750419,-0.30556947770839926,3,35.28557518
twgw_2_4518,2019-06-29 12:00:00,2581.2893564558844,-1500.256060255662,3,34.6392771
twgw_0_2957,2019-06-25 16:48:00,5785.644647575239,-766.8019312504399,1,35.19646955
twgw_0_4369,2019-07-09 12:00:00,2377.285659093784,-750.5158913574547,1,35.02705742
twgw_2_202,2019-07-05 00:00:00,9002.018850419525,3319.006745680373,3,36.58897451
twgw_2_3385,2019-08-05 16:48:00,3636.601296879497,474.67399784594204,3,35.8117722
twgw_2_1590,2019-07-20 09:36:00,6936.293012858507,1552.8256344670576,3,35.61391842
twgw_2_2728,2019-08-09 14:24:00,5290.585298319484,404.5562801765389,3,35.48811807
twgw_0_3385,2019-08-22 04:48:00,3661.007335486058,459.4611404212613,1,35.81368085
twgw_2_310,2019-07-21 16:48:00,9853.38494163777,2069.399869532959,3,35.68800567
twgw_0_1960,2019-07-23 19:12:00,7342.486528242131,50.99458220891215,1,35.28720848
twgw_2_4015,2019-06-30 14:24:00,4344.760085967589,-1757.2720751585152,3,34.93400063
twgw_2_1590,2019-08-29 09:36:00,6936.293012858507,1552.8256344670576,3,35.30034629
twgw_0_3076,2019-09-10 00:00:00,3767.7898343058077,1192.6725532771384,1,35.78399077
twgw_2_4015,2019-09-10 14:24:00,4344.760085967589,-1757.2720751585152,3,34.70805773
twgw_0_3385,2019-09-04 21:36:00,3661.007335486058,459.4611404212613,1,35.43721279
twgw_2_1960,2019-07-26 12:00:00,7346.139044750419,-0.30556947770839926,3,35.02452203
twgw_2_3076,2019-08-22 02:24:00,3832.385761844663,1154.0384951844164,3,35.78231912
twgw_0_4518,2019-09-19 00:00:00,2618.279513933654,-1498.6932103263841,1,34.44755524
twgw_2_2957,2019-07-26 09:36:00,5776.142710477893,-765.2288571604122,3,34.93409229
twgw_2_4369,2019-08-05 12:00:00,2382.2943635294123,-731.287169678793,3,34.77064008
twgw_0_1590,2019-08-17 19:12:00,6877.212040124034,1533.516731404556,1,35.30175931
twgw_2_2728,2019-09-19 04:48:00,5290.585298319484,404.5562801765389,3,35.17597881
twgw_2_3385,2019-07-27 12:00:00,3636.601296879497,474.67399784594204,3,35.43559749
twgw_0_2957,2019-09-05 12:00:00,5785.644647575239,-766.8019312504399,1,34.93537282
twgw_0_3385,2019-09-17 21:36:00,3661.007335486058,459.4611404212613,1,34.88970098
twgw_0_4369,2019-10-18 09:36:00,2377.285659093784,-750.5158913574547,1,34.40664022
twgw_2_3076,2019-09-08 14:24:00,3832.385761844663,1154.0384951844164,3,35.15845873
twgw_0_2728,2019-09-27 12:00:00,5268.359669847015,371.1482351337234,1,34.73821528
twgw_2_1042,2019-10-12 00:00:00,6411.073826936332,3915.6557626196472,3,36.24265062
twgw_2_2957,2019-09-28 19:12:00,5776.142710477893,-765.2288571604122,3,34.57814542
twgw_2_4518,2019-08-27 19:12:00,2581.2893564558844,-1500.256060255662,3,34.17207624
twgw_0_202,2019-10-06 19:12:00,9000.260312632394,3355.506277632604,1,35.55418852
twgw_0_1590,2019-09-13 16:48:00,6877.212040124034,1533.516731404556,1,34.86662212
twgw_2_202,2019-10-09 09:36:00,9002.018850419525,3319.006745680373,3,35.55305185
twgw_2_2728,2019-09-27 04:48:00,5290.585298319484,404.5562801765389,3,34.73717011
twgw_0_3076,2019-09-27 09:36:00,3767.7898343058077,1192.6725532771384,1,35.15969141
twgw_2_310,2019-08-26 19:12:00,9853.38494163777,2069.399869532959,3,34.98518695
twgw_0_2957,2019-10-11 07:12:00,5785.644647575239,-766.8019312504399,1,34.57899299
twgw_2_3385,2019-09-21 07:12:00,3636.601296879497,474.67399784594204,3,34.88852465
twgw_2_1960,2019-09-08 00:00:00,7346.139044750419,-0.30556947770839926,3,34.6745115
twgw_2_1590,2019-10-01 00:00:00,6936.293012858507,1552.8256344670576,3,34.86561411
twgw_0_310,2019-08-25 21:36:00,9869.237510077019,2071.7000858204833,1,34.98603926
twgw_2_4015,2019-10-10 14:24:00,4344.760085967589,-1757.2720751585152,3,34.39543896
twgw_2_4369,2019-09-22 04:48:00,2382.2943635294123,-731.287169678793,3,34.4055287
twgw_0_310,2019-10-28 04:48:00,9869.237510077019,2071.7000858204833,1,34.55641822
twgw_2_310,2019-10-12 07:12:00,9853.38494163777,2069.399869532959,3,34.55585488
twgw_2_1042,2019-10-09 07:12:00,6411.073826936332,3915.6557626196472,3,35.28960573
twgw_2_1590,2019-11-02 16:48:00,6936.293012858507,1552.8256344670576,3,34.40760714
twgw_2_202,2019-09-25 12:00:00,9002.018850419525,3319.006745680373,3,34.8921027
twgw_0_4518,2019-10-17 14:24:00,2618.279513933654,-1498.6932103263841,1,33.8828112
twgw_0_2728,2019-10-20 07:12:00,5268.359669847015,371.1482351337234,1,34.27289312
twgw_0_1042,2019-10-16 07:12:00,6472.877121823882,3974.1157707806547,1,35.29049383
twgw_0_3076,2019-09-27 00:00:00,3767.7898343058077,1192.6725532771384,1,34.48866504
twgw_0_202,2019-09-23 04:48:00,9000.260312632394,3355.506277632604,1,34.89279924
twgw_0_2957,2019-09-28 07:12:00,5785.644647575239,-766.8019312504399,1,34.20226377
twgw_2_4015,2019-10-13 19:12:00,4344.760085967589,-1757.2720751585152,3,34.06369202
twgw_2_3385,2019-10-18 00:00:00,3636.601296879497,474.67399784594204,3,34.30394196
twgw_2_1960,2019-09-24 14:24:00,7346.139044750419,-0.30556947770839926,3,34.30589828
twgw_0_3385,2019-11-09 19:12:00,3661.007335486058,459.4611404212613,1,34.30465123
twgw_2_2957,2019-10-28 02:24:00,5776.142710477893,-765.2288571604122,3,34.20183474
twgw_2_4518,2019-10-09 00:00:00,2581.2893564558844,-1500.256060255662,3,33.8822315
twgw_2_3385,2019-10-26 02:24:00,3636.601296879497,474.67399784594204,3,33.82527033
twgw_2_3076,2019-12-05 21:36:00,3832.385761844663,1154.0384951844164,3,33.93671707
twgw_0_4518,2019-12-20 12:00:00,2618.279513933654,-1498.6932103263841,1,33.64614162
twgw_0_202,2019-12-15 19:12:00,9000.260312632394,3355.506277632604,1,34.34690569
twgw_0_3076,2019-12-21 16:48:00,3767.7898343058077,1192.6725532771384,1,33.93708868
twgw_0_2957,2019-11-08 07:12:00,5785.644647575239,-766.8019312504399,1,33.88969467
twgw_0_1590,2019-11-26 07:12:00,6877.212040124034,1533.516731404556,1,34.03223103
twgw_2_310,2019-11-22 09:36:00,9853.38494163777,2069.399869532959,3,34.20393199
twgw_2_4518,2019-11-09 21:36:00,2581.2893564558844,-1500.256060255662,3,33.64590153
twgw_0_1042,2019-10-28 00:00:00,6472.877121823882,3974.1157707806547,1,34.49342027
twgw_2_2728,2019-11-04 21:36:00,5290.585298319484,404.5562801765389,3,33.89017253
twgw_2_4015,2019-11-26 09:36:00,4344.760085967589,-1757.2720751585152,3,33.78816844
twgw_2_2957,2019-12-02 19:12:00,5776.142710477893,-765.2288571604122,3,33.88948504
twgw_0_4369,2019-12-15 00:00:00,2377.285659093784,-750.5158913574547,1,33.7050924
twgw_2_1590,2019-10-25 09:36:00,6936.293012858507,1552.8256344670576,3,34.03196452
twgw_0_3076,2019-11-28 00:00:00,3767.7898343058077,1192.6725532771384,1,33.64677433
twgw_2_202,2020-01-08 02:24:00,9002.018850419525,3319.006745680373,3,34.05703507
twgw_2_4015,2019-12-07 07:12:00,4344.760085967589,-1757.2720751585152,3,33.63853695
twgw_2_1960,2019-12-08 00:00:00,7346.139044750419,-0.30556947770839926,3,33.83862305
twgw_0_1960,2019-12-09 21:36:00,7342.486528242131,50.99458220891215,1,33.83873019
twgw_0_4369,2020-01-16 14:24:00,2377.285659093784,-750.5158913574547,1,33.54448245
twgw_2_1590,2019-12-29 02:24:00,6936.293012858507,1552.8256344670576,3,33.83604432
twgw_0_310,2020-01-07 21:36:00,9869.237510077019,2071.7000858204833,1,34.02151694
twgw_0_4518,2020-01-15 16:48:00,2618.279513933654,-1498.6932103263841,1,33.52372183
twgw_2_3076,2019-12-10 09:36:00,3832.385761844663,1154.0384951844164,3,33.64660012
twgw_0_4015,2019-11-23 02:24:00,4378.0423785322955,-1795.79023572067,1,33.63863852
twgw_0_3385,2019-11-28 12:00:00,3661.007335486058,459.4611404212613,1,33.57553034
twgw_0_202,2020-01-18 14:24:00,9000.260312632394,3355.506277632604,1,34.05719554
twgw_0_2957,2019-12-24 12:00:00,5785.644647575239,-766.8019312504399,1,33.72065138
twgw_0_1590,2019-11-26 19:12:00,6877.212040124034,1533.516731404556,1,33.8361655
twgw_2_4518,2019-12-17 07:12:00,2581.2893564558844,-1500.256060255662,3,33.52361623
twgw_0_1042,2019-12-08 21:36:00,6472.877121823882,3974.1157707806547,1,34.05861122
twgw_2_310,2019-12-12 14:24:00,9853.38494163777,2069.399869532959,3,34.02140222
twgw_2_1960,2020-01-09 14:24:00,7346.139044750419,-0.30556947770839926,3,33.89763675
twgw_2_310,2020-02-03 00:00:00,9853.38494163777,2069.399869532959,3,34.07383047
twgw_2_4518,2019-12-23 19:12:00,2581.2893564558844,-1500.256060255662,3,33.57260044
twgw_2_1042,2020-01-15 09:36:00,6411.073826936332,3915.6557626196472,3,34.11639896
twgw_0_202,2020-02-03 12:00:00,9000.260312632394,3355.506277632604,1,34.11660677
twgw_2_202,2020-01-31 04:48:00,9002.018850419525,3319.006745680373,3,34.11641094
twgw_0_4369,2020-01-26 16:48:00,2377.285659093784,-750.5158913574547,1,33.60190521
twgw_0_2957,2020-02-06 02:24:00,5785.644647575239,-766.8019312504399,1,33.78499861
twgw_0_4518,2020-01-07 04:48:00,2618.279513933654,-1498.6932103263841,1,33.57280235
twgw_0_3076,2019-12-23 21:36:00,3767.7898343058077,1192.6725532771384,1,33.72014371
twgw_2_3076,2020-02-03 21:36:00,3832.385761844663,1154.0384951844164,3,33.71993653
twgw_0_2728,2020-01-19 07:12:00,5268.359669847015,371.1482351337234,1,33.75859518
twgw_2_2728,2020-01-27 04:48:00,5290.585298319484,404.5562801765389,3,33.75840781
twgw_2_4369,2019-12-29 21:36:00,2382.2943635294123,-731.287169678793,3,33.60169806
twgw_2_3385,2020-02-09 12:00:00,3636.601296879497,474.67399784594204,3,33.64850426
twgw_2_2957,2019-12-24 02:24:00,5776.142710477893,-765.2288571604122,3,33.78482364
twgw_2_1590,2020-02-18 02:24:00,6936.293012858507,1552.8256344670576,3,33.90144825
